World,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Difficulty
AI Escape Room,1,What is a transformer in modern AI?,A neural architecture using self-attention to process sequences in parallel.,A model that only works for images using convolution layers.,A simple rule-based system for if/else logic.,A hardware chip used exclusively in robotics.,A,easy
AI Escape Room,2,What is Retrieval-Augmented Generation (RAG)?,Using generative models to compress images.,Combining an LLM with external retrieval of documents for better answers.,Training a model only once and freezing it.,A cryptographic protocol for secure hashing.,B,easy
AI Escape Room,3,What is an AI hallucination?,GPU overclocking issue.,Model producing confident but factually wrong or fabricated outputs.,When a model refuses to answer.,Noise in sensor data.,B,hard
AI Escape Room,4,What is multimodal AI?,AI that only works for text data.,"AI that can consume and reason over multiple input types (text, image, audio, video).",AI that runs on multiple GPUs.,AI that can speak multiple human languages only.,B,hard
AI Escape Room,5,What is fine-tuning in machine learning?,Adjusting hyperparameters before training.,Training a pre-trained model on a specific task or dataset.,Removing outliers from data.,Compressing a model to reduce size.,B,easy
AI Escape Room,6,What is the purpose of attention mechanisms in neural networks?,To reduce model size.,To allow models to focus on relevant parts of input data.,To speed up training time.,To prevent overfitting.,B,easy
AI Escape Room,7,What is zero-shot learning?,Training a model with zero data points.,A model performing tasks it wasn't explicitly trained on.,Setting all weights to zero.,Training without a validation set.,B,hard
AI Escape Room,8,What is the difference between supervised and unsupervised learning?,"Supervised uses labeled data, unsupervised finds patterns in unlabeled data.",Supervised is faster than unsupervised.,Unsupervised requires more compute power.,There is no difference.,A,easy
AI Escape Room,9,What is a neural network activation function?,A function that starts the training process.,A function that introduces non-linearity to help learn complex patterns.,A function that saves model weights.,A function that loads training data.,B,easy
AI Escape Room,10,What is transfer learning?,Moving data between servers.,Using knowledge from one task to improve performance on another task.,Transferring model ownership.,Converting models between frameworks.,B,easy
AI Escape Room,11,What is the vanishing gradient problem?,"When gradients become too small during backpropagation, hindering learning.",When the model runs out of memory.,When training data disappears.,When the learning rate is too high.,A,hard
AI Escape Room,12,What is batch normalization?,Processing data in batches.,A technique to normalize layer inputs to stabilize and speed up training.,Removing bad data samples.,Grouping similar data together.,B,hard
AI Escape Room,13,What is the purpose of dropout in neural networks?,To remove bad training examples.,To randomly disable neurons during training to prevent overfitting.,To speed up inference.,To reduce model size.,B,easy
AI Escape Room,14,What is an embedding in NLP?,A way to compress text files.,A dense vector representation of words or tokens in continuous space.,A type of neural network architecture.,A data preprocessing technique.,B,easy
